t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
1.28,4.4433,21.5612,31.447,29.6934,30.6927,29.7123,29.6412,0.034
1.285,4.4599,21.6112,31.5151,29.8145,30.715,29.7511,29.9468,0.0335
1.29,4.4802,21.6575,31.5631,29.8419,30.72,29.7635,29.9867,0.0367
1.295,4.5002,21.6925,31.5765,29.7345,30.6942,29.732,29.6956,0.0395
1.3,4.514,21.7386,31.6377,29.8432,30.7118,29.7653,29.975,0.0363
1.305,4.527,21.7834,31.6964,29.9425,30.7278,29.7964,30.208,0.032
1.31,4.5405,21.8264,31.7482,30.0097,30.7383,29.8189,30.3411,0.0284
1.315,4.5603,21.8719,31.7942,30.0347,30.7449,29.8327,30.3465,0.0311
1.32,4.5782,21.9016,31.7943,29.8858,30.711,29.7886,29.9329,0.032
1.325,4.5991,21.9441,31.8281,29.872,30.7081,29.7887,29.8834,0.0358
1.33,4.6153,21.9867,31.8728,29.919,30.7149,29.805,29.9989,0.0348
1.335,4.6302,22.0181,31.8847,29.8405,30.6932,29.7802,29.7995,0.0326
1.34,4.6481,22.0579,31.9167,29.8389,30.6901,29.7813,29.8,0.0334
1.345,4.6621,22.0851,31.9171,29.7273,30.6595,29.744,29.5399,0.0303
1.35,4.6747,22.1214,31.9494,29.7534,30.6573,29.7492,29.6422,0.0258
1.355,4.6892,22.1513,31.9572,29.679,30.6346,29.7232,29.4829,0.0231
1.36,4.7058,22.1832,31.967,29.6125,30.6146,29.7002,29.3505,0.0226
1.365,4.7217,22.2232,32.0038,29.6595,30.6183,29.713,29.5075,0.0215
1.37,4.7362,22.2599,32.0329,29.6806,30.6159,29.7171,29.588,0.0189
1.375,4.7514,22.2913,32.044,29.6301,30.5985,29.6986,29.4826,0.017
1.38,4.7683,22.3336,32.0855,29.6988,30.608,29.7195,29.6735,0.0168
1.385,4.785,22.3711,32.1126,29.7105,30.6057,29.7226,29.7071,0.0163
1.39,4.7974,22.4083,32.1482,29.7698,30.6106,29.7385,29.8635,0.0116
1.395,4.8128,22.4433,32.1698,29.7643,30.6045,29.7362,29.8398,0.0099
1.4,4.8255,22.4772,32.1936,29.7778,30.6007,29.7383,29.8713,0.0056
1.405,4.8451,22.5268,32.2525,29.9097,30.6277,29.7839,30.1746,0.0081
1.41,4.8632,22.5662,32.2821,29.9276,30.6304,29.7929,30.1766,0.0091
1.415,4.8776,22.5943,32.2837,29.8486,30.6097,29.7679,29.952,0.0063
1.42,4.8987,22.6263,32.2833,29.7483,30.5889,29.7395,29.6819,0.0103
1.425,4.9119,22.6514,32.2783,29.6608,30.5636,29.7085,29.4863,0.0065
1.43,4.9323,22.6918,32.3062,29.6869,30.5671,29.7183,29.5687,0.0098
1.435,4.9429,22.7171,32.3076,29.6388,30.5475,29.6976,29.4835,0.0033
1.44,4.9587,22.7552,32.3386,29.6952,30.5535,29.7139,29.6479,0.002
1.445,4.9755,22.7953,32.3733,29.7619,30.5633,29.7351,29.8189,0.0017
1.45,4.9949,22.8452,32.434,29.9208,30.5951,29.7891,30.1945,0.0039
1.455,5.0119,22.8742,32.4327,29.8402,30.5767,29.7653,29.9563,0.0039
1.46,5.0268,22.9031,32.4362,29.7899,30.5622,29.749,29.8205,0.0017
1.465,5.0445,22.938,32.4527,29.7871,30.559,29.7492,29.8078,0.0023
1.47,5.0615,22.9702,32.4616,29.7582,30.5503,29.7406,29.7338,0.0023
1.475,5.0797,23.0165,32.5138,29.8978,30.5767,29.7872,30.0769,0.0034
1.48,5.0966,23.061,32.5625,30.0217,30.6003,29.8297,30.3536,0.0032
1.485,5.118,23.1018,32.5893,30.0438,30.608,29.8437,30.348,0.0075
1.49,5.1334,23.1248,32.5729,29.9179,30.5806,29.8054,29.9983,0.0057
1.495,5.15,23.1551,32.5772,29.8758,30.5701,29.7936,29.8843,0.0053
1.5,5.1636,23.1869,32.5928,29.8904,30.5683,29.7977,29.9266,0.0018
1.505,5.1808,23.2079,32.5664,29.7339,30.5347,29.7484,29.5379,0.0018
1.51,5.1998,23.2375,32.563,29.67,30.52,29.7287,29.4061,0.0039
1.515,5.2178,23.2773,32.5951,29.751,30.5329,29.7545,29.6419,0.0048
1.52,5.2363,23.3318,32.6736,30.0072,30.5824,29.839,30.2827,0.0061
1.525,5.2511,23.3745,32.7222,30.1475,30.6082,29.8866,30.5904,0.0038
1.53,5.2714,23.4,32.7029,30.0052,30.5833,29.8476,30.1681,0.007
1.535,5.2856,23.4269,32.7016,29.9585,30.5712,29.8336,30.0357,0.0042
1.54,5.3039,23.46,32.7118,29.9485,30.569,29.8336,29.9971,0.0053
1.545,5.3218,23.5052,32.7615,30.0936,30.5974,29.8838,30.3431,0.0061
