run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scene_label,truth
4,0,patrol,safe,no person detected; risk=safe,38.2,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",233.5,271.7,,gpt4o_mini,object_table,caution
5,0,patrol,safe,no person detected; risk=safe,31.8,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",213.5,245.3,,gpt4o_mini,object_table,caution
1,0,patrol,safe,no person detected; risk=safe,34.4,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",216.5,250.9,,gpt4o_mini,dim_light,caution
2,0,patrol,safe,no person detected; risk=safe,29.2,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",230.2,259.4,,gpt4o_mini,dim_light,caution
3,0,patrol,safe,no person detected; risk=safe,16.1,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",208.2,224.3,,gpt4o_mini,dim_light,caution
4,0,patrol,safe,no person detected; risk=safe,38.4,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",215.4,253.8,,gpt4o_mini,dim_light,caution
5,0,patrol,safe,no person detected; risk=safe,38.0,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",235.9,273.9,,gpt4o_mini,dim_light,caution
1,0,patrol,safe,no person detected; risk=safe,35.7,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",220.3,256.0,,gpt4o_mini,cluttered,caution
2,0,patrol,safe,no person detected; risk=safe,37.5,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",208.8,246.3,,gpt4o_mini,cluttered,caution
3,0,patrol,safe,no person detected; risk=safe,32.7,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",204.0,236.7,,gpt4o_mini,cluttered,caution
4,0,patrol,safe,no person detected; risk=safe,36.8,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",217.1,253.9,,gpt4o_mini,cluttered,caution
5,0,patrol,safe,no person detected; risk=safe,36.3,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",218.3,254.6,,gpt4o_mini,cluttered,caution
1,0,patrol,safe,no person detected; risk=safe,30.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",201.5,231.9,,gpt4o_mini,door_open,safe
2,0,patrol,safe,no person detected; risk=safe,38.5,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",214.7,253.2,,gpt4o_mini,door_open,safe
3,0,patrol,safe,no person detected; risk=safe,36.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",216.8,253.7,,gpt4o_mini,door_open,safe
4,0,patrol,safe,no person detected; risk=safe,32.7,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",200.3,233.0,,gpt4o_mini,door_open,safe
5,0,patrol,safe,no person detected; risk=safe,37.5,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",205.7,243.2,,gpt4o_mini,door_open,safe
1,0,patrol,hazard,person detected; conf=0.391; risk=hazard,32.6,YOLO detections: none,203.1,235.7,,gpt4o_mini,person_far,caution
2,0,patrol,hazard,person detected; conf=0.391; risk=hazard,33.2,YOLO detections: none,212.2,245.4,,gpt4o_mini,person_far,caution
3,0,patrol,hazard,person detected; conf=0.391; risk=hazard,35.1,YOLO detections: none,217.0,252.1,,gpt4o_mini,person_far,caution
4,0,patrol,hazard,person detected; conf=0.391; risk=hazard,36.3,YOLO detections: none,225.7,262.0,,gpt4o_mini,person_far,caution
5,0,patrol,hazard,person detected; conf=0.391; risk=hazard,28.7,YOLO detections: none,206.0,234.7,,gpt4o_mini,person_far,caution
1,0,patrol,hazard,no person detected; risk=hazard,38.1,YOLO detections: none,212.4,250.5,,gpt4o_mini,blocked_lens,hazard
2,0,patrol,hazard,no person detected; risk=hazard,35.4,YOLO detections: none,208.5,243.9,,gpt4o_mini,blocked_lens,hazard
3,0,patrol,hazard,no person detected; risk=hazard,29.5,YOLO detections: none,206.6,236.1,,gpt4o_mini,blocked_lens,hazard
4,0,patrol,hazard,no person detected; risk=hazard,37.2,YOLO detections: none,204.4,241.6,,gpt4o_mini,blocked_lens,hazard
5,0,patrol,hazard,no person detected; risk=hazard,38.5,YOLO detections: none,235.5,274.0,,gpt4o_mini,blocked_lens,hazard
1,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",206.8,238.7,,gemini,person_near,hazard
2,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",215.5,254.0,,gemini,person_near,hazard
3,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",197.8,231.5,,gemini,person_near,hazard
