run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
3,16,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",228.6,264.4,,gpt4o_mini,alert_room,person_near
3,17,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",226.8,268.0,,gpt4o_mini,alert_room,person_near
3,18,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",215.1,251.6,,gpt4o_mini,alert_room,person_near
3,19,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,26.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",213.8,240.5,,gpt4o_mini,alert_room,person_near
3,20,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.3,244.1,,gpt4o_mini,alert_room,person_near
3,21,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,28.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.1,247.9,,gpt4o_mini,alert_room,person_near
3,22,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.0,244.7,,gpt4o_mini,alert_room,person_near
4,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.0,253.0,,gpt4o_mini,alert_room,person_near
4,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,21.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.8,240.5,,gpt4o_mini,alert_room,person_near
4,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",222.6,262.4,,gpt4o_mini,alert_room,person_near
4,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,47.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.1,265.7,,gpt4o_mini,alert_room,person_near
4,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.5,252.9,,gpt4o_mini,alert_room,person_near
4,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.1,246.1,,gpt4o_mini,alert_room,person_near
4,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.8,260.3,,gpt4o_mini,alert_room,person_near
4,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.7,263.6,,gpt4o_mini,alert_room,person_near
4,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.9,258.0,,gpt4o_mini,alert_room,person_near
4,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.6,256.2,,gpt4o_mini,alert_room,person_near
4,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.7,245.3,,gpt4o_mini,alert_room,person_near
4,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.1,245.1,,gpt4o_mini,alert_room,person_near
4,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",224.4,254.4,,gpt4o_mini,alert_room,person_near
4,13,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",220.9,256.1,,gpt4o_mini,alert_room,person_near
4,14,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",215.9,251.9,,gpt4o_mini,alert_room,person_near
